Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
东亚与太平洋地区（所有收入水平）,EAS,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,1.200824388,1.289517153,1.193411096,2.411181518,2.865516879,3.647409985,3.194324025,5.960331783,6.938021993,8.029015115,8.406185523,9.635347803,10.75097824,12.17153772,13.8203725,14.36484633,15.44894131,13.78213479,13.33468049,13.9842296,13.98223009,13.62585377,14.04352683,14.28186725,14.44708177,14.40678776,14.37089653,14.89083742,14.25782291,13.65358583,12.99077134,12.00531108,10.54335007,10.7398066,10.76089906,9.961308169,8.469468578,8.366457472,8.341702506,7.756976723,5.055133684,,,
欧洲和中亚,ECA,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19438891,12.38686765,12.93289053,14.12525185,14.24338558,14.87824299,16.88602263,17.42297053,16.78008891,16.26013979,17.06574248,16.82289692,16.96181713,15.79541951,16.12000936,16.37239571,15.90176666,15.663819,15.59502768,15.60826731,15.28918797,15.02735458,,,
欧洲与中亚地区（所有收入水平）,ECS,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,2.086171959,2.587848745,2.644190353,3.026969785,3.993207586,4.339893546,5.001052508,5.362228789,5.725429946,6.590719196,8.830363383,9.618912537,10.96725526,13.35334448,15.36064421,16.2791703,16.25799664,17.05782169,17.60335935,22.17777355,22.75512543,23.50788137,24.79403464,24.56337787,24.86969163,26.0455425,26.22508615,25.60516016,25.77260547,25.33522907,25.70950332,25.90855638,25.61636344,25.28346007,24.74068869,24.32958625,23.07882792,22.88683834,23.05050518,22.68472722,22.67552574,,,
厄瓜多尔,ECU,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯埃及共和国,EGY,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
欧洲货币联盟,EMU,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0.042502272,0.079823613,0.143842014,0.205795834,0.679148119,0.927880815,1.066189716,1.300709251,1.304551407,1.874308207,2.089006285,2.568847362,3.580866877,3.830186019,4.24502579,6.273530434,6.340362382,7.619901962,8.744296153,9.790786134,11.64064786,16.59442088,18.12778247,21.32455018,26.79586722,31.138854,32.98851571,33.07775175,34.27628236,35.44273082,35.22724484,35.20826647,35.9804632,37.3920062,35.97639813,36.12330576,36.57753258,36.80042461,35.46295802,35.70209599,35.70096189,35.35949631,35.3556059,34.4207387,34.01314551,33.65544741,33.20427617,31.2490558,31.43559138,30.94278206,30.88429413,30.76856295,,,
厄立特里亚,ERI,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
西班牙,ESP,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0.181179193,1.593127835,1.639344262,4.096776813,6.995509092,8.650541898,9.020180828,9.189018003,8.46546025,7.038591419,7.782231809,6.399052558,4.747953784,8.698498127,7.72734481,9.240063097,19.54684775,22.32500378,29.21202857,31.12302611,36.41545922,38.12907609,35.89011018,35.91493321,35.59795788,36.06559486,34.37682565,33.48812773,32.49214086,29.23546237,30.50436419,28.59155545,28.15757669,27.3346291,26.26575024,24.04658917,22.9913393,19.87907893,20.34156342,18.25575886,18.96372091,18.07694548,20.77969965,19.97301458,20.90983738,,
爱沙尼亚,EST,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
埃塞俄比亚,ETH,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
