CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
喀麦隆,CMR,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
刚果（布）,COG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
哥伦比亚,COL,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
科摩罗,COM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,CPV,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥斯达黎加,CRI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
加勒比小国,CSS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
古巴,CUB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
库拉索,CUW,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
捷克共和国,CZE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,200000000,1239000000,2397000000,6149000000,10701000000,11816000000,12418000000,12585000000,12132000000,12250000000,12627000000,12977000000,12230000000,12850000000,12494000000,13178000000,13357000000,13590000000,14749000000,18738000000,25872000000,26325000000,24728000000,26046000000,26172000000,26551000000,27208000000,27998000000,28283000000,30324000000,,
德国,DEU,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,24000000,100000000,56000000,104000000,117000000,265000000,1225000000,1766000000,4937000000,6494000000,6216000000,9522000000,12106000000,14459000000,24138000000,29533000000,41255000000,43873000000,52064000000,55589000000,65533000000,74426000000,78063000000,1.04E+11,1.39E+11,1.30E+11,1.42E+11,1.57E+11,1.62E+11,1.52E+11,1.47E+11,1.59E+11,1.53E+11,1.51E+11,1.53E+11,1.60E+11,1.70E+11,1.62E+11,1.70E+11,1.70E+11,1.71E+11,1.65E+11,1.65E+11,1.67E+11,1.63E+11,1.67E+11,1.41E+11,1.48E+11,1.35E+11,1.41E+11,1.08E+11,99460000000,,
吉布提,DJI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多米尼克,DMA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹麦,DNK,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
多米尼加共和国,DOM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔及利亚,DZA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
东亚与太平洋,EAP,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604000000,14756000000,12833000000,14338000000,14418000000,14100000000,14949000000,16737000000,17472000000,25127000000,43342000000,50469000000,53088000000,54843000000,62130000000,68394000000,70134000000,73880000000,86350000000,,,
