CountryName,CountryCode,Indicator Name,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿塞拜疆,AZE,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100000000,3219000000,3167000000,3175000000,3120000000,3553000000,3555000000,3711000000,11266000000,10889000000,11219000000,12842000000,13991000000,15915000000,15491000000,17690000000,16061000000,15240000000,17280000000,,,
阿塞拜疆,AZE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿塞拜疆,AZE,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21494000000,21692000000,18016000000,16525000000,12523000000,12321000000,12374000000,12004000000,12494000000,13115000000,13454000000,6403000000,5792000000,7598000000,6147000000,5872000000,6110000000,3992000000,1721000000,497000000,23000000,338000000,,,
埃塞俄比亚,ETH,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
埃塞俄比亚,ETH,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,304000000,312000000,333000000,348000000,349000000,363000000,375000000,406000000,439000000,484000000,507000000,580000000,630000000,690000000,675000000,717000000,721000000,712000000,721000000,1062000000,1082000000,1151000000,1263000000,1354000000,1428000000,1510000000,1566000000,1579000000,1605000000,1646000000,1992000000,2023000000,2280000000,2521000000,2833000000,3259000000,3385000000,3296000000,3524000000,4931000000,5109000000,,,
埃塞俄比亚,ETH,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
埃塞俄比亚,ETH,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
埃塞俄比亚,ETH,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,289000000,299000000,258000000,239000000,229000000,213000000,168000000,161000000,187000000,205000000,214000000,218000000,230000000,220000000,213000000,198000000,171000000,165000000,158000000,140000000,127000000,90000000,120000000,97000000,99000000,93000000,48000000,48000000,19000000,23000000,19000000,21000000,16000000,18000000,12000000,10000000,162000000,467000000,444000000,31000000,33000000,,,
爱尔兰,IRL,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,106000000,89000000,126000000,63000000,35000000,72000000,109000000,79000000,102000000,214000000,72000000,73000000,70000000,72000000,71000000,74000000,75000000,51000000,50000000,71000000,73000000,43000000,63000000,74000000,74000000,106000000,1828000000,5057000000,5291000000,5944000000,5918000000,5853000000,6658000000,6618000000,6684000000,7018000000,6992000000,6787000000,6740000000,5832000000,6817000000,7062000000,6821000000,6203000000,6229000000,6389000000,5884000000,5499000000,5145000000,4003000000,4135000000,4700000000,5499000000,,
爱尔兰,IRL,水力发电量（千瓦时）,EG.ELC.HYRO.KH,932000000,738000000,659000000,655000000,784000000,941000000,852000000,797000000,771000000,583000000,802000000,466000000,682000000,644000000,786000000,521000000,594000000,749000000,698000000,826000000,838000000,862000000,802000000,784000000,688000000,833000000,919000000,681000000,872000000,692000000,697000000,746000000,817000000,765000000,920000000,713000000,722000000,678000000,916000000,846000000,846000000,596000000,912000000,598000000,630000000,631000000,724000000,667000000,969000000,902000000,599000000,707000000,802000000,,
