CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
文莱达鲁萨兰国,BRN,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,4000000,4000000,0,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,7000000,7000000,7000000,11000000,11000000,12000000,12000000,14000000,14000000,15000000,16000000,19000000,22000000,22000000,23000000,24000000,25000000,25000000,29000000,29000000,31000000,33000000,33000000,37000000,38000000,37000000,,,
不丹,BTN,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,117000000,94000000,65000000,53000000,23000000,50000000,50000000,125000000,111000000,108000000,33000000,30000000,36000000,30000000,21000000,18000000,24000000,24000000,27000000,27000000,24000000,29000000,29000000,51000000,6000000,6000000,6000000,0,0,0,0,,,
中非共和国,CAF,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,石油发电量（千瓦时）,EG.ELC.PETR.KH,1193000000,1509000000,1493000000,1598000000,2294000000,3240000000,3617000000,5442000000,8441000000,8847000000,6409000000,6422000000,5861000000,9068000000,10286000000,10206000000,13173000000,13776000000,15366000000,14730000000,13798000000,10337000000,10859000000,8629000000,6250000000,6777000000,6166000000,10061000000,11842000000,18174000000,16468000000,14135000000,15594000000,12008000000,9416000000,9196000000,7190000000,9385000000,14382000000,12141000000,11081000000,16894000000,13894000000,21582000000,23211000000,15332000000,9250000000,9845000000,8847000000,10378000000,7455000000,6531000000,6531000000,,
,CEB,石油发电量（千瓦时）,EG.ELC.PETR.KH,31000000,55000000,80000000,141000000,314000000,1769000000,1988000000,2013000000,2393000000,2985000000,4297000000,15011000000,16547000000,18713000000,23815000000,22660000000,30986000000,37889000000,45404000000,42584000000,29759000000,34919000000,28861000000,30306000000,31052000000,26247000000,28847000000,26838000000,16898000000,18007000000,27974000000,24783000000,18946000000,21205000000,19858000000,19665000000,20436000000,21804000000,21764000000,19149000000,13479000000,16695000000,12928000000,13317000000,9429000000,8899000000,8646000000,8496000000,7472000000,8322000000,6484000000,5209000000,,,
瑞士,CHE,石油发电量（千瓦时）,EG.ELC.PETR.KH,180000000,186000000,247000000,272000000,325000000,525000000,698000000,960000000,1390000000,1695000000,2100000000,2915000000,3570000000,2604000000,2265000000,1743000000,2202000000,2000000000,1627000000,1366000000,492000000,292000000,332000000,351000000,259000000,250000000,297000000,306000000,288000000,298000000,387000000,605000000,737000000,261000000,308000000,364000000,309000000,297000000,676000000,328000000,227000000,247000000,228000000,246000000,202000000,214000000,200000000,175000000,126000000,104000000,70000000,58000000,61000000,,
海峡群岛,CHI,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,2178000000,2202000000,1795000000,1725000000,1396000000,1525000000,1563000000,1703000000,1853000000,1732000000,1611000000,1483000000,1251000000,1012000000,834000000,811000000,764000000,756000000,1297000000,1768000000,1348000000,1076000000,1264000000,1512000000,1041000000,2348000000,2230000000,1953000000,3397000000,1705000000,1275000000,1480000000,1887000000,2835000000,3392000000,2716000000,14785000000,16090000000,12149000000,8470000000,6355000000,6239000000,,
中国,CHN,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,10887000000,20647000000,31087000000,28955000000,40175000000,53170000000,47623000000,53300000000,68357000000,77583000000,75673000000,70300000000,67571000000,65747000000,53442000000,50606000000,51518000000,56888000000,54339000000,48953000000,50605000000,52118000000,63691000000,46906000000,53952000000,49467000000,45920000000,51949000000,48960000000,46127000000,47343000000,49393000000,57417000000,72210000000,61252000000,51984000000,34258000000,23411000000,16494000000,13255000000,7857000000,,,
