CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
多米尼加共和国,DOM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,562000000,70000000,582000000,243000000,25000000,43000000,487000000,462000000,539000000,153000000,201000000,261000000,266000000,677000000,587000000,233000000,509000000,584000000,2651000000,1949000000,1194000000,1766000000,1826000000,1982000000,1939000000,1874000000,1992000000,,,
阿尔及利亚,DZA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
东亚与太平洋,EAP,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1.05E+11,1.05E+11,1.06E+11,1.06E+11,1.21E+11,1.15E+11,1.40E+11,1.71E+11,1.77E+11,1.77E+11,1.81E+11,1.97E+11,2.12E+11,2.40E+11,2.90E+11,3.32E+11,3.76E+11,4.12E+11,4.49E+11,4.85E+11,5.45E+11,6.12E+11,6.59E+11,7.40E+11,7.92E+11,8.80E+11,9.33E+11,9.50E+11,1.04E+12,1.15E+12,1.23E+12,1.39E+12,1.63E+12,1.84E+12,2.10E+12,2.45E+12,2.82E+12,2.91E+12,3.11E+12,3.45E+12,3.95E+12,,,
东亚与太平洋地区（所有收入水平）,EAS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,54169000000,55570000000,65402000000,74335000000,75525000000,77843000000,89994000000,1.10E+11,1.12E+11,1.05E+11,98469000000,1.91E+11,1.91E+11,1.96E+11,1.97E+11,2.18E+11,2.15E+11,2.51E+11,2.82E+11,2.96E+11,3.11E+11,3.24E+11,3.49E+11,3.90E+11,4.53E+11,5.27E+11,5.80E+11,6.44E+11,6.97E+11,7.50E+11,7.94E+11,8.72E+11,9.63E+11,1.04E+12,1.15E+12,1.23E+12,1.35E+12,1.43E+12,1.48E+12,1.60E+12,1.78E+12,1.91E+12,2.09E+12,2.37E+12,2.60E+12,2.90E+12,3.24E+12,3.66E+12,3.73E+12,3.94E+12,4.30E+12,4.79E+12,,,
欧洲和中亚,ECA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,1539000000,1467000000,2120000000,1524000000,2388000000,11170000000,11859000000,11694000000,11375000000,11372000000,12281000000,40247000000,42966000000,44032000000,43995000000,49181000000,46183000000,47107000000,50215000000,54289000000,56339000000,44686000000,47965000000,50688000000,53167000000,62219000000,70842000000,71314000000,65997000000,73510000000,3.00E+11,2.84E+11,2.76E+11,2.47E+11,2.34E+11,2.26E+11,2.09E+11,2.09E+11,2.02E+11,1.98E+11,2.09E+11,2.20E+11,2.13E+11,2.28E+11,2.23E+11,2.34E+11,2.58E+11,2.78E+11,2.97E+11,2.78E+11,2.89E+11,3.24E+11,,,
欧洲与中亚地区（所有收入水平）,ECS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,3.15E+11,3.39E+11,3.74E+11,3.88E+11,4.20E+11,4.32E+11,4.35E+11,4.62E+11,4.95E+11,5.24E+11,5.72E+11,6.48E+11,6.41E+11,6.88E+11,6.75E+11,6.93E+11,7.81E+11,7.88E+11,8.31E+11,8.73E+11,9.19E+11,9.01E+11,9.34E+11,9.59E+11,9.12E+11,9.78E+11,1.01E+12,1.02E+12,1.01E+12,1.04E+12,1.45E+12,1.44E+12,1.38E+12,1.30E+12,1.30E+12,1.30E+12,1.29E+12,1.24E+12,1.26E+12,1.22E+12,1.30E+12,1.30E+12,1.31E+12,1.38E+12,1.34E+12,1.35E+12,1.40E+12,1.41E+12,1.37E+12,1.23E+12,1.26E+12,1.31E+12,,,
厄瓜多尔,ECU,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯埃及共和国,EGY,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
欧洲货币联盟,EMU,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,1.68E+11,1.84E+11,2.04E+11,2.06E+11,2.30E+11,2.28E+11,2.26E+11,2.47E+11,2.63E+11,2.77E+11,3.24E+11,3.46E+11,3.44E+11,3.48E+11,3.54E+11,3.39E+11,4.07E+11,4.03E+11,4.28E+11,4.50E+11,4.74E+11,4.79E+11,5.07E+11,5.21E+11,5.28E+11,5.27E+11,5.22E+11,5.26E+11,5.27E+11,5.57E+11,5.86E+11,5.78E+11,5.57E+11,5.32E+11,5.39E+11,5.53E+11,5.51E+11,5.42E+11,5.58E+11,5.50E+11,5.80E+11,5.70E+11,5.95E+11,6.17E+11,6.07E+11,5.98E+11,5.82E+11,5.96E+11,5.36E+11,4.81E+11,4.87E+11,4.98E+11,,,
厄立特里亚,ERI,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
西班牙,ESP,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,2401000000,3773000000,4342000000,2625000000,5291000000,6307000000,5304000000,9389000000,10423000000,10202000000,12228000000,13387000000,15649000000,14276000000,12938000000,17008000000,15944000000,18308000000,20393000000,23254000000,32776000000,38004000000,44746000000,49229000000,49426000000,55414000000,55433000000,55457000000,43897000000,60539000000,60663000000,59715000000,65140000000,63388000000,62613000000,67079000000,54670000000,63976000000,63166000000,75436000000,80858000000,71734000000,82457000000,75955000000,80323000000,80767000000,67978000000,74085000000,49973000000,36938000000,26323000000,44927000000,55888000000,,
爱沙尼亚,EST,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14995000000,12644000000,10721000000,8222000000,8728000000,8403000000,8821000000,8854000000,8036000000,7723000000,7820000000,7816000000,8000000000,9608000000,9698000000,9504000000,9018000000,11645000000,9909000000,8023000000,11454000000,11335000000,10210000000,,
埃塞俄比亚,ETH,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
欧洲联盟,EUU,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,3.13E+11,3.37E+11,3.72E+11,3.86E+11,4.18E+11,4.30E+11,4.32E+11,4.60E+11,4.92E+11,5.21E+11,5.69E+11,6.45E+11,6.38E+11,6.85E+11,6.71E+11,6.89E+11,7.77E+11,7.83E+11,8.25E+11,8.66E+11,9.13E+11,8.95E+11,9.28E+11,9.50E+11,9.01E+11,9.63E+11,9.89E+11,1.00E+12,9.97E+11,1.02E+12,1.05E+12,1.05E+12,9.99E+11,9.53E+11,9.55E+11,9.64E+11,9.74E+11,9.26E+11,9.37E+11,9.05E+11,9.61E+11,9.66E+11,9.78E+11,1.04E+12,1.01E+12,9.97E+11,1.01E+12,1.02E+12,9.32E+11,8.38E+11,8.55E+11,8.76E+11,,,
,FCS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1204000000,778000000,1706000000,667000000,840000000,796000000,483000000,731000000,720000000,562000000,430000000,560000000,726000000,1109000000,1970000000,2884000000,5277000000,5403000000,5277000000,15533000000,14469000000,8198000000,6371000000,6194000000,6248000000,7308000000,9249000000,9135000000,8721000000,11908000000,13937000000,14424000000,14254000000,15162000000,15806000000,15118000000,15489000000,17544000000,16528000000,16721000000,19299000000,,,
